objectid,title,format,filename,date,subject,location,latitude,longitude,description
photo1,Hawaii Ala Mona Hotel Pool,image/jpeg,Collection01.jpg,1974,Pool; Hawaii; Hotel; Vacation; Honalulu; Suntanning; Ala Moana; Slide Photography,"Honolulu,HI, USA",21.29014,-157.83983,A pool at the Ala Moana hotel in Honolulu Hawaii. Taken on Kodachrome Film.
photo2,Lois at Diamondhead,image/jpeg,Collection02.jpg,1974,Beach; Hawaii; Tropical; Ocean; Mountain; Coast; Sea; Nature; Family; Honolulu; Diamondhead; Slide Photography,"Honolulu,HI, USA",21.27604,-157.82739,Woman standing in the water Waikiki Beach in Honolulu Hawaii. Diamond Head is in the background. Taken on Kodachrome Film.
photo3,Dodge Polara and bougainvillea,image/jpeg,Collection03.jpg,1974,Car; Tree; Flowers; Bougainvillea; Dodge; Polara; Hawaii; Stationwagon; Slide Photography,"Honolulu,HI, USA",21.3099,-157.8581,Dodge Polara station wagon under a bougainvilla tree in bloom. Taken on Kodachrome Film.
photo4,Halona Blowhole,image/jpeg,Collection04.jpg,1974,Beach; Hawaii; Tropical; Ocean; Blowhole; Sand; Slide Photography,"Honolulu,HI, USA",21.28525,-157.67384,"Halona Blowhole from ""Sandy Beach"" Honolulu. Taken on Kodachrome Film."
photo5,"""Wettest Point on Earth 456 in Eucalyptus Trees""",image/jpeg,Collection05.jpg,1974,Eucalyptis; Tree Tunnel; Rainfall; Hawaii; Kauai; Slide Photography,"Maluhia Road, Koloa,HI, USA",21.94191,-159.46731,Tree Tunnel on Maluhia Road Koloa Hawaii. Taken on Kodachrome Film.
photo6,Koko Head,image/jpeg,Collection06.jpg,1974,Cliffs; Waves; Ocean; Hike; Lookout; Hawaii; Shoreline; Slide Photography ,"Honolulu,HI, USA",21.27686,-157.68556,Lookout towards the ocean from part of Koko Head trail. Taken on Kodachrome Film.
photo7,"""Black Swan and Carp""",image/jpeg,Collection07.jpg,1974,Swan; Koi; Carp; Pond; Garden; Slide Photography,"Honolulu,HI, USA",21.3099,-157.8581,Black swan swimming in a pond full of colourful carp/koi . Taken on Kodachrome Film.
photo8,Plymouth decorated for wedding,image/jpeg,Collection08.jpg,1964,Wedding; Plymouth Valiant; Chrysler; Belville; Ontario; Slide Photography,"Belleville, ON, CAN",44.16479,-77.388,Blue Plymouth Valiant is decorated with streamers for a newly married couple . Taken on Kodachrome Film.
photo9,David and Sherril are Married at Christ Church,image/jpeg,Collection09.jpg,1964,Wedding; Bride; Groom; Bellville; Ontario; Canada; Slide Photography,"39 Everett St, Belleville, ON, CAN",4.16475,-77.38722,The bride and groom pose together infront of Christ Church Anglican where they have just been married. Taken on Kodachrome Film.
photo10,"""Tree of Life"" outside of United Nations Pavilion at Expo '67",image/jpeg,Collection10.jpg,1967,Expo '67; Tree of Life; sculpture carving; Slide Photography,Montreal CAN,45.5068,-73.53141,"Tree Trunk carving with three heads and flagpoles with flags in the background, Expo '67. Taken on Kodachrome Film."
